Number,Price,Lot_Size,Waterfront,Age,Land_Value,New_Construct,Central_Air,Fuel_Type,Heat_Type,Sewer_Type,Living_Area,Pct_College,Bedrooms,Fireplaces,Bathrooms,Rooms
298,191500,0.46,0,30,27400,0,0,Gas,Hot_Air,Public,2310,64,5,,2.5,12
299,272500,0.03,0,0,56800,0,0,Gas,Hot_Air,Public,2930,64,4,1,2.5,12
300,191500,0.88,0,33,35900,0,0,Gas,Hot_Water,Public,2576,64,4,1,2.5,10
301,158000,0.55,0,36,30500,0,0,Gas,Hot_Water,Public,1664,64,3,1,2,8
302,195000,1,0,24,46000,0,0,Electric,Electric,Private,1237,64,2,0,1.5,3
303,187500,0.43,0,29,31400,0,1,Gas,Hot_Air,Public,2662,64,5,1,2.5,9
304,160000,0.45,0,35,32300,0,0,Gas,Hot_Air,Public,1575,64,3,1,1.5,7
305,137500,0.1,0,12,18000,0,1,Gas,Hot_Air,Public,1566,64,2,,1.5,7
306,109900,0.09,0,16,17600,0,1,Gas,Hot_Air,Public,1326,64,2,1,1.5,4
307,85000,0.09,0,18,17600,0,0,Gas,Hot_Water,Public,1480,64,3,0,1.5,8
308,184350,0.59,0,0,,0,0,Gas,Hot_Air,Public,2161,64,4,,2.5,11
309,134500,0.16,0,10,18600,0,1,Gas,Hot_Air,Public,1352,64,2,,1.5,3
310,154900,0.51,0,33,34600,0,1,Gas,Hot_Air,Public,1648,64,3,0,1.5,8
311,255000,0.46,0,25,60500,0,1,Gas,Hot_Air,Public,2936,64,3,,3.5,12
312,238600,0.46,0,1,36400,0,0,Gas,Hot_Air,Public,2404,64,4,1,2.5,10
313,106000,0.42,0,36,30900,0,0,Gas,Hot_Air,Public,1738,64,3,0,1.5,9
314,625000,0.45,0,14,119500,0,1,Gas,Hot_Air,Public,5228,64,4,4,4,12
315,195000,0.55,0,34,30500,0,0,Gas,Hot_Water,Public,2576,64,4,1,2.5,12
316,168500,0.44,0,34,31800,0,0,Gas,Hot_Air,Public,1586,64,3,1,1.5,7
317,87000,0.06,0,19,16400,0,0,Electric,Electric,Public,1480,64,3,0,1.5,5
318,215000,0.5,0,15,37000,0,0,Gas,Hot_Air,Public,1917,64,4,,2.5,7
319,197500,0.3,0,30,24500,0,1,Gas,Hot_Air,Public,1938,64,3,,1.5,9
320,215000,0.33,0,3,11600,0,1,Gas,Hot_Air,Public,2110,64,4,,2.5,8
321,118000,0.14,0,19,18400,0,0,Gas,Hot_Air,Public,1479,64,3,0,1.5,5
322,187900,0.69,0,34,34700,0,0,Gas,Hot_Water,Public,2576,64,5,1,2.5,9
323,275000,0.38,0,18,60800,0,1,Gas,Hot_Air,Public,2445,82,4,2,2.5,9
324,249900,0.74,0,14,73800,0,1,Gas,Hot_Air,Public,2185,64,3,1,2.5,7
325,270000,0.38,0,18,82800,0,1,Electric,Hot_Air,Private,2078,64,4,1,2.5,8
326,157900,0.38,0,37,29100,0,0,Gas,Hot_Air,Public,1674,64,3,1,1.5,5
327,120000,0.29,0,19,20300,0,0,Electric,Electric,Public,1228,64,4,0,1.5,9
328,126400,0.28,0,22,19500,0,1,Electric,Electric,Public,1375,64,2,1,1.5,7
329,220000,0.54,0,16,30200,0,1,Gas,Hot_Air,Public,1650,64,3,1,2,5
330,180000,0.26,0,31,,0,1,Gas,Hot_Air,Public,1718,64,3,1,1.5,9
331,203600,0.59,0,33,31700,0,0,Gas,Hot_Water,Public,2576,64,4,1,2.5,9
332,249900,0.37,0,4,37500,0,0,Gas,Hot_Air,Public,2280,64,4,1,2.5,7
333,193000,0.4,0,18,25000,0,0,Gas,Hot_Water,Public,2088,64,4,1,2.5,10
334,215000,0.5,0,15,37000,0,0,Gas,Hot_Air,Public,1917,64,4,,2.5,9
335,201000,0.54,0,29,30200,0,0,Gas,Hot_Water,Public,3140,64,5,1,3.5,10
336,65000,0.22,0,73,6900,0,0,Gas,Hot_Air,Private,1029,82,3,,1,4
337,195000,0.35,0,36,39800,0,1,Gas,,Public,1896,64,4,1,2.5,7
338,215900,0.52,0,38,29600,0,0,Gas,Hot_Water,Public,2310,64,5,1,2.5,9
339,92000,0.31,0,17,19600,0,0,Electric,Electric,Public,924,64,2,,1,6
340,155000,0.38,0,25,38000,0,1,Gas,Electric,Public,2080,64,3,,2.5,9
341,123500,0.08,0,22,17200,0,1,Electric,Electric,Public,1237,64,3,1,1.5,4
342,110400,0.1,0,29,18000,0,1,Gas,Hot_Air,Public,1287,64,3,0,1.5,5
343,198900,0.44,0,18,33200,0,0,Gas,Hot_Water,Public,1847,64,3,,2.5,7
344,150000,0.26,0,49,41900,0,1,Gas,Hot_Air,Private,1064,64,3,0,1,8
345,104000,0.07,0,18,16800,0,1,Gas,Hot_Air,Public,1480,64,3,1,1.5,4
346,245000,0.48,0,23,48500,0,1,Gas,Hot_Air,Public,2462,64,5,2,3.5,8
347,180000,0.41,0,17,25400,0,0,Gas,Hot_Water,Public,2228,64,3,1,2.5,7
348,154300,0.42,0,61,14700,0,0,Gas,Hot_Water,Private,1260,82,3,0,1,8
349,170000,0.45,0,30,30000,0,0,Gas,Hot_Air,Public,1559,64,4,1,2.5,5
350,219000,0.6,0,25,71000,0,1,Gas,Hot_Air,Public,1980,64,4,1,2.5,10
351,295000,0.95,0,9,78000,0,0,Gas,Hot_Air,Private,2380,82,3,,2.5,6
352,181500,0.56,0,27,30800,0,0,Gas,Hot_Water,Public,1887,64,4,1,2.5,8
353,260000,1.25,0,133,43500,0,0,Gas,Hot_Water,Private,2185,64,4,1,1.5,11
354,239900,0.7,0,15,69400,0,1,Electric,Electric,Public,2488,64,4,1,2.5,7
355,135500,0.67,0,56,21100,0,0,Gas,Hot_Air,Private,1152,64,1,,2,3
356,191500,0.66,0,15,32100,0,0,Gas,Hot_Water,Public,2025,64,4,1,2.5,9
357,225000,0.62,0,37,32600,0,0,Gas,Hot_Water,Public,2521,64,5,1,2.5,12
358,98500,0.08,0,18,17200,0,1,Gas,Hot_Air,Public,1480,64,3,0,1.5,4
359,110500,0.08,0,17,,0,1,Gas,Hot_Air,Public,1480,64,3,1,1.5,5
360,290000,0.51,0,7,39100,0,0,Gas,Hot_Air,Public,2362,64,4,1,2.5,8
361,184400,0.28,0,31,23200,0,1,Gas,Hot_Air,Public,1910,64,3,1,1.5,7
362,178500,1,0,12,32000,0,0,Oil,Hot_Air,Private,1952,71,3,2,2,9
363,415000,0.58,0,9,86400,0,1,Gas,Hot_Air,Public,3358,64,4,,3.5,12
364,244900,0.43,0,26,39000,0,1,Gas,Hot_Air,Public,2090,64,4,1,2.5,7
365,150000,0.55,0,35,33000,0,1,Gas,Hot_Air,Public,1965,64,5,1,2,11
366,168000,0.49,0,33,34100,0,1,Gas,Hot_Air,Public,2110,64,4,,1.5,9
367,159000,0.39,0,43,29600,0,0,Gas,Hot_Air,Private,1456,64,4,0,2.5,9
368,127000,0.06,0,18,16400,0,0,Gas,Hot_Air,Public,1479,64,3,0,1.5,7
369,175000,0.46,0,29,27400,0,0,Gas,Hot_Water,Public,1874,64,4,1,2.5,7
370,255250,0.5,0,0,17500,0,0,Gas,Hot_Air,Public,2099,64,4,1,2.5,8
371,175000,0.6,0,33,32000,0,0,Gas,Hot_Water,Public,1872,64,3,1,2.5,8
372,235000,0.41,0,17,44300,0,1,Electric,Electric,Public,2388,64,4,1,2.5,11
373,324000,0.53,0,18,65800,0,1,Gas,Hot_Air,Public,2812,64,4,1,2.5,12
374,173000,0.21,0,11,19100,0,0,Gas,Hot_Air,Public,1064,64,2,1,2,4
375,116900,0.06,0,20,16400,0,1,Gas,Hot_Air,Public,1375,64,2,,1.5,7
376,105900,0.09,0,19,17600,0,0,Electric,Hot_Air,Public,1480,64,3,0,1.5,5
377,112000,0.13,0,25,18300,0,1,Gas,Hot_Air,Public,1260,64,2,1,1.5,5
378,235000,0.72,0,15,40300,0,1,Gas,Hot_Air,Public,2086,64,3,,2.5,5
379,235000,1,0,9,43900,0,0,Oil,Hot_Air,Private,2588,64,4,,2.5,12
380,130000,0.18,0,18,18800,0,0,Electric,Electric,Public,1480,64,3,,1.5,4
381,235000,0.74,0,10,35700,0,0,Gas,Hot_Air,Public,1752,64,3,1,2.5,7
382,191900,0.48,0,32,28200,0,0,Gas,Hot_Water,Public,2660,64,4,1,2.5,11
383,284900,0.58,0,20,69500,0,1,Gas,Hot_Air,Public,2417,64,3,1,2.5,9
384,335000,0.01,0,21,79100,0,1,Gas,Hot_Air,Public,2793,64,3,1,2.5,7
385,140000,1,0,78,,0,0,Oil,,Private,1152,64,2,0,1,6
386,191000,0.41,0,29,25400,0,0,Gas,Hot_Water,Public,2344,64,4,,2.5,9
387,153000,0.51,0,33,34600,0,1,Gas,Hot_Air,Public,1926,64,4,1,1.5,6
388,196000,0.55,0,35,34800,0,1,Gas,,Public,2208,64,4,,2.5,9
389,248000,0.46,0,16,60500,0,1,Gas,Hot_Air,Public,2208,64,3,1,2.5,7
390,240000,0.6,0,35,32000,0,0,Gas,Hot_Water,Public,2708,64,5,,2.5,12
391,132000,0.19,0,18,18900,0,1,Gas,Hot_Air,Public,1142,64,3,0,1.5,6
392,199000,1.42,0,32,48300,0,1,Gas,Hot_Air,Private,2529,64,3,1,2,7
393,217000,0.69,0,20,35500,0,0,Electric,Electric,Private,1797,64,4,0,2,9
394,167000,0.51,0,31,34600,0,0,Gas,Hot_Air,Public,1611,64,3,,1.5,4
395,245000,0.29,0,13,31400,0,1,Gas,Hot_Air,Public,2576,64,4,1,2.5,10
396,358000,0.06,0,10,79600,0,1,Gas,Hot_Air,Private,2653,82,4,0,2.5,10
397,412500,0.6,0,13,88000,0,1,Gas,Hot_Water,Public,3896,64,5,2,4.5,12
398,208000,0.53,0,16,37500,0,1,Gas,Hot_Air,Public,1585,64,3,1,1,6
399,270000,0.38,0,10,38000,0,1,Gas,Hot_Air,Public,2774,64,4,1,2.5,8
400,100000,0.74,0,54,28300,0,0,Gas,Hot_Air,Private,1283,64,2,,1,3
401,130000,0.56,0,29,,0,0,Oil,Hot_Air,Private,1136,64,3,0,1,6
402,182500,0.71,0,32,35100,0,0,Gas,Hot_Water,Public,1896,64,4,,2.5,6
403,139000,2.84,0,55,60200,0,0,Gas,Hot_Water,Private,1536,64,2,,1,7
404,104000,0.09,0,19,17600,0,0,Electric,Electric,Public,1480,64,3,1,1.5,5
405,221000,0.52,0,14,,0,1,Gas,Hot_Air,Public,2096,64,4,,2.5,8
406,260000,1,0,8,40200,0,1,Gas,Hot_Air,Public,2324,64,4,0,2.5,7
407,182500,0.5,0,29,29000,0,0,Gas,Hot_Water,Public,2079,64,4,1,2.5,7
408,196000,0.43,0,33,31400,0,1,Gas,Hot_Air,Public,1911,64,4,1,1.5,10
409,132000,0.09,0,18,17600,0,1,Gas,Hot_Air,Public,1480,64,3,1,1.5,7
410,224900,0.11,0,25,32900,0,0,Gas,Hot_Water,Private,2208,64,4,1,2.5,10
411,199900,0.24,0,9,28000,0,0,Gas,Hot_Air,Public,1462,64,3,0,2.5,7
412,165835,0.39,0,38,29600,0,0,Gas,Hot_Air,Private,1794,64,4,1,1.5,10
413,189000,0.8,0,38,35500,0,0,Gas,Hot_Water,Public,1886,64,4,,2.5,9
414,89900,0.19,0,19,13300,0,0,Electric,Electric,Public,1080,64,3,0,1.5,7
415,235000,0.59,0,34,31700,0,1,Gas,Hot_Water,Public,2576,64,5,,3,11
416,166000,0.48,0,26,31200,0,0,Gas,Hot_Water,Public,1508,64,4,,1.5,5
417,153100,0.46,0,35,32700,0,0,Gas,Hot_Air,Public,1672,64,4,,1,5
418,162000,0.4,0,35,30000,0,1,Gas,Hot_Air,Public,1739,64,4,1,1.5,9
419,224000,0.52,0,40,29600,0,0,Gas,Hot_Water,Private,3074,64,7,,2.5,12
420,222400,0.86,0,3,35600,0,0,Gas,Hot_Air,Private,1976,64,3,1,2.5,8
421,199000,0.46,0,37,27400,0,0,Gas,Hot_Water,Public,2302,64,4,1,2.5,8
422,166000,0.95,0,13,9500,0,1,Gas,Hot_Air,Private,1480,51,3,1,2,4
423,149900,0.63,0,11,17900,0,0,Gas,Hot_Water,Public,960,54,2,,2,5
424,152000,0.42,0,16,17400,0,0,Electric,Electric,Private,1582,36,3,0,1.5,8
425,162500,0.34,0,154,11900,0,0,Oil,Hot_Air,Public,1600,54,4,,1,7
426,274900,0.5,0,5,4000,0,0,Gas,Hot_Air,Public,2320,54,4,0,2.5,9
427,100000,0.2,0,,7200,0,0,Gas,Hot_Water,Public,1034,54,2,0,1.5,5
428,215000,2.96,0,19,11000,0,0,Electric,Electric,Private,1488,57,3,0,1.5,8
429,124000,1,0,17,3500,0,0,Electric,Electric,Private,1056,57,3,0,1,8
430,125000,1,0,128,16200,0,0,Oil,Hot_Air,Private,864,57,3,0,1,6
431,138000,1,0,19,17600,0,0,Electric,Electric,Private,1552,57,3,1,2,4
432,225000,0.52,0,,18200,0,0,Gas,Hot_Air,Public,1816,57,3,1,1.5,6
433,180000,0.48,0,20,12500,0,1,Gas,Hot_Air,Private,1530,57,3,1,2,6
434,189900,0.33,0,14,11900,0,1,Gas,Hot_Air,Public,1756,54,4,0,2,8
435,435000,1,0,25,25000,0,0,Gas,Hot_Water,Private,4211,57,5,2,3.5,12
436,120000,2.6,0,10,20200,0,0,Oil,Hot_Air,Private,2206,57,3,1,2.5,7
437,163000,0.15,1,64,36000,0,0,Oil,Hot_Air,Public,1092,36,2,,1,6
438,131000,2.8,0,114,28300,0,0,Oil,Hot_Water,Private,1594,36,7,0,1,10
439,126500,0.08,0,15,2100,0,0,Gas,Hot_Air,Public,1480,54,3,1,2.5,8
440,122500,0.14,0,15,3200,0,1,Gas,Hot_Air,Public,1480,54,3,,1.5,4
441,425000,0.46,0,88,19700,0,1,Gas,,Private,3003,57,4,1,3.5,12
442,225000,0.63,0,54,9500,0,0,Oil,Hot_Water,Private,2164,57,2,0,1.5,7
443,209000,3.8,0,19,14400,0,0,Oil,Hot_Water,Private,1519,57,2,0,1,3
444,189100,0.46,0,15,15700,0,1,Oil,Hot_Air,Private,1604,57,3,,2.5,4
445,285000,0.98,0,25,15900,0,0,Electric,Electric,Private,1400,57,3,1,2,5
446,266600,1,0,12,20300,0,0,Gas,Hot_Air,Private,1752,57,4,,1,7
447,80000,1,0,32,20300,0,0,Electric,Electric,Private,880,57,2,0,1.5,6
448,225000,6.07,0,14,25700,0,0,Oil,Hot_Air,Private,1240,57,3,0,2,5
449,159000,0.03,0,17,18800,0,0,Gas,Hot_Air,Private,1514,36,3,1,1.5,8
450,119900,0.18,0,2,15000,0,1,Gas,Hot_Air,Public,840,36,1,0,1,6
451,130900,0.11,0,1,15000,0,1,Gas,Hot_Air,Public,840,36,2,0,1,3
452,194670,0.28,0,124,7400,0,0,Gas,Hot_Air,Public,2592,36,4,,1.5,12
453,72000,0.18,0,121,7300,0,0,Gas,Hot_Air,Public,1010,36,3,0,1,7
454,144700,0.16,0,2,15000,0,0,Gas,Hot_Air,Public,1380,36,3,0,1.5,6
455,139500,0.15,0,3,15000,0,1,Gas,Hot_Air,Public,1366,36,3,0,1.5,8
456,319000,0.5,1,5,40200,0,1,Gas,Hot_Air,Public,1681,57,3,,2.5,4
457,348000,3.68,0,14,27200,0,0,Oil,Hot_Water,Private,2037,36,3,,2,9
458,189900,0.98,0,16,11200,0,0,Oil,Hot_Water,Private,2570,36,3,0,1.5,10
459,20000,0.52,0,59,8000,0,0,Oil,Hot_Air,Private,936,20,2,,1,4
460,60000,0.01,0,13,1200,0,0,Gas,Hot_Water,Public,960,41,2,,1.5,7
461,179500,0.91,0,11,3200,0,0,Oil,Hot_Air,Private,1352,30,3,1,1.5,5
462,133300,0.34,0,118,6200,0,0,Gas,Hot_Water,Public,1060,41,4,,1,8
463,153000,2.06,0,6,40100,0,0,Oil,Hot_Air,Private,1508,30,3,0,2,5
464,111900,0.35,0,54,19600,0,0,Oil,Hot_Air,Private,1272,60,4,1,1.5,9
465,187000,0.47,0,18,18800,0,0,Oil,Hot_Water,Private,2389,27,6,0,3,11
466,158500,0.7,0,17,28800,0,0,Gas,Hot_Air,Private,1210,60,2,1,1,4
467,153000,0.39,0,52,21800,0,0,Oil,Hot_Air,Private,1230,60,3,,1,6
468,190000,0.52,0,47,28100,0,0,Oil,Hot_Air,Private,1832,60,4,,2,8
469,242000,1.27,0,27,34200,0,0,Oil,Hot_Water,Private,1854,60,3,1,1.5,8
470,234500,2,0,164,40000,0,0,Oil,Hot_Air,Private,2268,60,3,0,2.5,10
471,225000,0.68,0,29,28700,0,0,Oil,Hot_Air,Private,1807,60,3,1,1.5,8
472,165000,0.38,0,48,21300,0,0,Gas,Hot_Air,Private,1272,60,4,1,1.5,5
473,129900,0.28,0,12,4800,0,1,Gas,Hot_Air,Public,1560,47,3,1,1,8
474,315000,0.07,0,15,200,0,1,Gas,Hot_Air,Public,1863,47,3,1,3.5,7
475,129900,0.24,1,64,1400,0,0,Oil,Hot_Air,Private,1120,47,2,,1,3
476,257000,0.26,0,15,700,0,1,Gas,Hot_Air,Public,1832,47,2,1,2.5,8
477,324000,3.64,0,0,7400,0,1,Oil,Hot_Air,Public,2092,47,4,1,2.5,8
478,520000,0.41,0,13,3100,0,0,Oil,Hot_Air,Public,2702,47,3,1,2.5,11
479,150414,0.46,0,32,5800,0,0,Oil,Hot_Water,Public,1040,47,3,1,1.5,5
480,290000,0.15,0,13,400,0,1,Gas,Hot_Air,Public,1758,47,2,1,2.5,6
481,112000,0.16,0,116,6800,0,0,Oil,Hot_Air,Public,2326,27,3,0,2,7
482,185000,1,0,13,13700,0,0,Electric,Electric,Private,2340,27,3,,1.5,8
483,295000,2.61,0,1,15700,0,0,Oil,Hot_Water,Private,2058,27,3,1,2.5,9
484,290000,1,1,33,21700,0,0,Oil,Hot_Air,Private,944,27,1,1,1,4
485,79900,0.19,0,44,9100,0,0,Electric,Electric,Private,640,20,2,0,1,6
486,256000,0.83,0,6,14700,0,1,Gas,Hot_Air,Private,2353,60,4,1,2.5,8
487,245000,1,0,7,17800,0,0,Gas,Hot_Water,Private,2038,54,4,1,2.5,7
488,140000,0.42,0,32,18500,0,1,Gas,Hot_Air,Private,1469,60,4,0,1.5,9
489,272000,0.87,0,10,41100,0,0,Gas,Hot_Air,Public,2219,63,3,1,2,10
490,164000,0.68,0,16,19900,0,0,Gas,Hot_Air,Public,1774,54,4,,2,7
491,182500,0.38,0,51,14600,0,1,Oil,Hot_Air,Private,1296,60,4,1,2,9
492,219900,1.1,0,124,20100,0,0,Oil,Hot_Water,Private,2289,60,4,,1.5,9
493,325000,0.8,0,134,18100,0,0,Gas,Hot_Air,Private,2463,60,5,2,2.5,12
494,352000,0.95,0,2,49200,0,1,Oil,Hot_Air,Private,3126,54,4,0,2.5,12
495,315000,4.1,0,15,26600,0,0,Oil,Hot_Water,Private,2550,54,3,0,2.5,7
496,154000,0.34,0,49,13100,0,1,Oil,Hot_Air,Private,1182,60,2,0,1,6
497,199000,0.09,0,48,15800,0,1,Oil,Hot_Air,Private,1890,60,4,1,2,7
498,202000,1,0,12,500,0,0,Oil,Hot_Air,,1944,36,3,,2.5,7
499,292000,0.57,0,6,15000,0,0,Gas,Hot_Air,Public,2815,57,4,1,2.5,10
500,116600,1,0,11,34900,0,0,Electric,,Private,1040,57,3,,2,7
501,155000,0.48,0,25,14400,0,0,Oil,Hot_Air,Private,1638,57,4,0,2,5
502,215000,0.14,0,13,21100,0,0,Gas,Hot_Air,Private,2206,57,4,,2.5,9
503,373490,0.19,0,0,,1,0,Gas,Hot_Air,Public,3170,57,4,1,3.5,12
504,259142,0.5,0,0,74800,1,1,Gas,Hot_Air,Public,2328,57,4,1,2.5,10
505,293565,0.35,0,0,74800,1,0,Gas,Hot_Air,Public,2737,57,4,1,3,8
506,285558,0.21,0,0,32000,1,0,Gas,Hot_Air,Public,2879,54,4,0,3,8
507,273960,3.47,0,1,20300,1,1,Gas,Hot_Air,Private,2158,54,3,1,2,10
508,185000,0.55,0,11,19300,0,1,Gas,Hot_Air,Public,1336,57,3,,2,7
509,190000,0.53,0,4,4200,0,0,Gas,Hot_Air,Public,1594,54,3,,2.5,6
510,171000,0.54,0,,18900,0,1,Gas,Hot_Air,Public,1603,57,3,0,1.5,4
511,208000,0.54,0,11,18900,0,1,Gas,Hot_Air,Public,2190,57,4,0,2.5,11
512,168000,0.32,0,,10700,0,1,Gas,Hot_Air,Public,1478,54,3,1,2.5,5
513,165000,0.25,0,10,8400,0,1,Gas,Hot_Air,Public,1348,54,2,,2,7
514,138500,0.32,0,36,8000,0,1,Gas,,Private,1558,54,3,1,1,6
515,179900,0.5,0,13,18300,0,0,Gas,Hot_Air,Public,1574,54,3,1,1.5,7
516,180000,0.04,0,13,16500,0,1,Gas,Hot_Air,Public,1612,54,4,0,2,7
517,112000,0.21,0,129,7300,0,0,Gas,Hot_Water,Public,1216,54,3,0,1,7
518,152000,0.17,0,124,6000,0,1,Gas,Hot_Air,Public,2256,54,4,0,1.5,8
519,100000,0.51,0,28,15000,0,0,Oil,,Private,1170,54,3,,1.5,4
520,154000,0.17,0,29,4600,0,0,Oil,Hot_Air,Public,1456,57,3,0,2,6
521,133000,0.11,0,29,3900,0,0,Electric,Electric,Public,1320,57,3,0,3,5
522,285000,0.14,0,,20700,0,1,Gas,Hot_Air,Private,2076,57,4,1,2.5,10
523,138000,1,0,22,16800,0,0,Electric,Electric,Private,1326,57,3,,2,5
524,303000,0.18,0,20,20900,0,0,Electric,Electric,Private,2240,57,4,1,2.5,10
525,250000,1.29,0,19,21600,0,1,Gas,Hot_Air,Private,2100,57,4,1,3,7
526,167500,1,0,27,8300,0,0,Oil,Hot_Air,Private,1129,38,2,0,1,7
527,190000,0.6,0,19,16000,0,1,Gas,Hot_Air,Private,2296,57,4,1,2.5,7
528,182500,0.46,0,20,13800,0,0,Gas,Hot_Air,Private,1475,57,3,1,2,8
529,107000,1.03,0,20,20100,0,0,Gas,Hot_Air,Private,1268,57,3,,1,6
530,195000,0.47,0,15,14100,0,0,Gas,Hot_Air,Private,1816,57,3,,2,7
531,169000,0.5,0,30,15000,0,0,Gas,Hot_Water,Private,1632,57,4,1,2.5,8
532,156000,0.26,0,11,8700,0,0,Gas,Hot_Air,Public,1254,54,2,0,1.5,5
533,120000,0.49,0,30,64400,0,0,Gas,Hot_Air,Public,1272,57,3,0,1,4
534,170000,0.28,0,29,80800,0,1,Gas,Hot_Air,Public,1604,57,4,0,1.5,6
535,249835,0.52,0,0,77000,0,1,Gas,Hot_Air,Public,2474,57,4,1,2.5,11
536,188095,0.15,0,0,36000,0,1,Gas,Hot_Air,Public,2057,57,3,1,2.5,9
537,176450,0.05,0,6,32000,0,1,Electric,Electric,Public,1852,57,3,0,2.5,8
538,322277,0.09,0,1,51400,0,1,Gas,Hot_Air,Public,2242,57,3,0,3,8
539,149000,0.49,0,32,64400,0,0,Gas,Hot_Air,Public,1564,57,4,1,1.5,9
540,95000,0.19,0,24,39200,0,0,Electric,Electric,Private,960,57,3,0,1,6
541,198500,0.1,0,63,85000,0,1,Gas,Hot_Air,Public,1680,57,2,0,2.5,7
542,185000,0.03,0,3,27000,0,1,Gas,Hot_Air,Public,1428,57,2,1,2.5,6
543,168900,0.16,0,0,36800,0,1,Gas,Hot_Air,Public,1672,57,3,0,2.5,7
544,220000,0.28,0,29,80800,0,1,Gas,Hot_Air,Public,2284,57,3,1,1.5,6
545,129900,0.32,0,31,54200,0,1,Gas,Hot_Air,Public,1286,57,3,1,1,4
546,167000,0.23,0,53,73000,0,0,Gas,Hot_Water,Public,1250,57,3,0,1,4
547,330000,0.12,0,113,,0,0,Oil,Hot_Water,Public,1896,57,4,0,1.5,8
548,336000,0.15,0,1,61000,0,1,Gas,,Public,2592,57,3,,3,10
549,512971,0.01,0,0,12500,0,1,Gas,Hot_Air,Public,1904,57,2,,2,8
550,229000,0.29,0,3,46400,0,1,Gas,Hot_Air,Public,1680,57,3,,2,6
551,145000,0.16,0,38,54900,0,0,Gas,Hot_Air,Public,1152,57,2,,1,7
552,103000,0.07,0,16,46600,0,1,Electric,Electric,Public,1290,57,3,1,1.5,5
553,210000,0.17,0,93,55800,0,0,Gas,Hot_Air,Public,2396,57,4,1,1.5,11
554,559000,0.24,0,55,255000,0,1,Gas,,Public,3090,57,4,2,4,12
555,218000,0.21,0,142,,0,0,Oil,Hot_Water,Public,1428,57,3,0,1,8
556,262138,0.15,0,0,114000,0,1,Gas,Hot_Air,Public,1631,57,3,1,2.5,4
557,125000,0.24,0,33,49100,0,0,Gas,Hot_Air,Public,1368,57,3,0,1,7
558,130000,0.16,0,36,54900,0,0,Gas,Hot_Air,Public,1134,57,3,0,1,4
559,157500,0.3,0,27,84600,0,1,Gas,Hot_Air,Public,1697,57,3,1,1.5,6
560,193000,0.3,0,6,47000,0,1,Gas,Hot_Air,Public,1666,57,3,1,2.5,4
561,275000,0.12,0,78,89000,0,1,Oil,Hot_Water,Public,1738,57,4,,2.5,6
562,240000,0.15,0,103,210000,0,0,Gas,Hot_Water,Public,1457,57,2,0,1.5,7
563,200136,0.15,0,0,54000,0,1,Gas,Hot_Air,Public,1632,57,3,1,2.5,7
564,395000,1.4,0,12,,0,1,Gas,Hot_Air,,2186,57,3,0,2.5,6
565,366703,0.15,0,0,95000,0,1,Electric,Hot_Air,Public,2117,57,3,1,2.5,6
566,103150,0.25,0,32,50000,0,0,Gas,Hot_Air,Public,936,57,3,1,1,8
567,310000,0.17,0,169,,0,0,Gas,Hot_Water,Public,3347,57,6,2,2.5,12
568,142900,0.36,0,32,,0,1,Gas,Hot_Air,Public,1824,57,4,1,2.5,10
569,359770,0.16,0,,,0,1,Gas,Hot_Air,Public,2592,57,3,0,3,8
570,126000,0.68,0,,84200,0,0,Oil,Hot_Air,Private,1080,57,2,0,1,7
571,760000,1.22,0,2,194700,0,1,Gas,Hot_Air,Private,3148,57,5,,3.5,12
572,282500,0.25,0,150,115000,0,0,Gas,Hot_Water,Public,2128,57,3,1,1.5,8
573,132000,0.06,0,18,28800,0,0,Gas,Hot_Air,Public,1616,57,3,,1.5,8
574,325000,0.23,0,5,73800,0,1,Gas,Hot_Air,Public,3313,57,4,1,2.5,12
575,207000,0.48,0,25,57800,0,0,Gas,Hot_Water,Public,2327,57,3,1,1.5,10
576,155000,0.24,0,32,49100,0,1,Gas,Hot_Air,Public,1640,57,4,1,1.5,7
577,330000,0.12,0,73,89000,0,0,Gas,Hot_Water,Public,1421,57,3,0,1.5,5
578,101760,0.15,0,103,54000,0,0,Gas,Hot_Water,Public,1280,57,2,1,1,3
579,496000,0.34,0,3,82400,0,1,Gas,Hot_Air,Public,3467,57,4,1,2.5,11
580,185000,0.11,0,83,87000,0,0,Gas,Hot_Water,Public,1250,57,3,0,1.5,5
581,125000,0.25,0,33,50000,0,0,Gas,Hot_Air,Public,1368,57,3,,1,5
582,286000,0.13,0,1,110200,0,0,Gas,Hot_Air,Public,1396,57,3,,2.5,8
583,269000,0.04,0,15,36000,0,1,Gas,Hot_Air,Public,2004,57,3,1,2.5,8
584,303374,0.12,0,1,56200,0,1,Gas,Hot_Air,Public,2242,57,3,,3,6
585,371165,0.39,0,0,85400,0,0,Gas,Hot_Air,Public,2786,57,4,,2.5,8
586,287600,0.07,0,0,48200,0,1,Gas,Hot_Air,Public,2242,57,3,0,2.5,6
587,131000,0.34,0,33,55400,0,0,Gas,Hot_Air,Public,1404,57,3,0,1,6
588,187000,1,0,25,98500,0,1,Gas,Hot_Air,Private,1600,57,3,1,1.5,7
589,169000,0.04,0,103,36000,0,0,Gas,Hot_Air,Public,1408,57,2,0,1,3
590,133500,0.21,0,37,59400,0,0,Gas,Hot_Air,Public,972,57,3,0,1,8
